@id;building;name;@lat;@lon
100915930;residential;;51.0871975;16.9980645
100915989;residential;;51.0983840;17.1528660
100916003;residential;;51.0970681;16.9370642
100916269;residential;;51.0900530;16.9851425
100916340;residential;;51.0865930;16.9985075
100916436;residential;;51.0976790;16.9591805
100916442;residential;;51.0827596;17.0143680
100916486;residential;;51.0940939;17.0573911
100916519;residential;;51.0885795;16.9869470
100916535;residential;;51.0867295;16.9818245
100916595;residential;;51.0804300;16.9712564
100916796;residential;;51.0995590;17.1558460
100916917;residential;;51.0846010;17.0164100
100916930;residential;;51.0872370;17.0162250
100917054;residential;;51.0886640;16.9863000
100917427;residential;;51.0902270;16.9852180
100917969;residential;;51.0874128;17.0073503
100918075;residential;;51.0862430;16.9982130
100918120;residential;;51.0872300;16.9856840
100918144;residential;;51.0897020;16.9849740
100918313;residential;;51.0972610;16.9593000
100918419;residential;;51.0932686;17.0095583
100918814;residential;;51.0999415;16.9437981
100918876;residential;;51.0997085;17.1528180
100918901;residential;;51.0849590;17.0123965
100919000;residential;;51.0811070;16.9633935
100919272;residential;;51.0904775;16.9847200
100919346;residential;;51.0964685;17.0536960
100919852;residential;;51.0873061;17.0077273
100919868;residential;;51.0931480;17.0090795
100919921;residential;;51.0957020;17.1622952
100920050;residential;;51.0910430;16.9871054
100920099;residential;;51.0980605;17.1567290
100920257;residential;;51.0980905;17.1541375
100920261;residential;;51.0988774;16.9422522
100920273;residential;;51.0964465;16.9592305
100920289;residential;;51.0880085;16.9855810
100920316;residential;;51.0899405;16.9875365
100920398;residential;;51.0905945;16.9868675
100920439;residential;;51.0881615;16.9892925
100920597;residential;;51.0967960;17.0538955
100920683;residential;;51.0980165;17.1546135
100920728;residential;;51.0875950;16.9854025
100921210;residential;;51.0872425;16.9820085
100921298;residential;;51.0907135;16.9862110
100921535;residential;;51.0909391;16.9877162
100921557;residential;;51.0881485;16.9823560
100921627;residential;;51.0969370;17.0539715
100921845;residential;;51.0893815;16.9872730
100922604;residential;;51.0870663;17.0057067
100922722;residential;;51.0833440;16.9647965
100922880;residential;;51.0968012;17.0528630
100922962;residential;;51.0874175;16.9821165
100922972;residential;;51.0975005;17.1534595
100922994;residential;;51.0867295;16.9825710
100923156;residential;;51.0960724;16.9428990
100923205;residential;;51.0872385;17.0164295
100923688;residential;;51.0966675;16.9569665
100923747;residential;;51.0869838;17.0088537
100924020;residential;;51.0870790;16.9819835
100924029;residential;;51.0878595;16.9866210
100924192;residential;;51.0993190;17.1563095
